carburant,annee,mois,prix_moyen_by_litre
E10,2020,4,1.299
E10,2020,5,1.28
E10,2020,6,1.328
E10,2020,7,1.355
E10,2020,8,1.345
E10,2020,9,1.343
E10,2020,10,1.345
E10,2020,11,1.34
E10,2020,12,1.366
E10,2021,1,1.408
E10,2021,2,1.452
E10,2021,3,1.503
E10,2021,4,1.514
E10,2021,5,1.521
E10,2021,6,1.531
E10,2021,7,1.568
E10,2021,8,1.572
E10,2021,9,1.577
E10,2021,10,1.632
E10,2021,11,1.652
E10,2021,12,1.618
E85,2007,1,0.79
E85,2007,2,0.79
E85,2007,3,0.792
E85,2007,4,0.804
E85,2007,5,0.808
E85,2007,6,0.816
E85,2007,7,0.824
E85,2007,8,0.827
E85,2007,9,0.828
E85,2007,10,0.828
E85,2007,11,0.828
E85,2007,12,0.83
E85,2008,1,0.828
E85,2008,2,0.835
E85,2008,3,0.836
E85,2008,4,0.838
E85,2008,5,0.844
E85,2008,6,0.847
E85,2008,7,0.854
E85,2008,8,0.865
E85,2008,9,0.875
E85,2008,10,0.877
E85,2008,11,0.871
E85,2008,12,0.869
E85,2009,1,0.854
E85,2009,2,0.85
E85,2009,3,0.86
E85,2009,4,0.856
E85,2009,5,0.853
E85,2009,6,0.869
E85,2009,7,0.943
E85,2009,8,0.994
E85,2009,9,1.027
E85,2009,10,1.043
E85,2009,11,1.062
E85,2009,12,1.07
E85,2010,1,0.959
E85,2010,2,1.003
E85,2010,3,1.046
E85,2010,4,1.085
E85,2010,5,1.1
E85,2010,6,1.119
E85,2010,7,1.138
E85,2010,8,1.147
E85,2010,9,1.152
E85,2010,10,1.157
E85,2010,11,1.157
E85,2010,12,1.16
E85,2011,1,0.88
E85,2011,2,0.893
E85,2011,3,0.896
E85,2011,4,0.9
E85,2011,5,0.906
E85,2011,6,0.907
E85,2011,7,0.904
E85,2011,8,0.906
E85,2011,9,0.907
E85,2011,10,0.909
E85,2011,11,0.911
E85,2011,12,0.915
E85,2012,1,0.919
E85,2012,2,0.929
E85,2012,3,0.924
E85,2012,4,0.929
E85,2012,5,0.924
E85,2012,6,0.92
E85,2012,7,0.919
E85,2012,8,0.925
E85,2012,9,0.92
E85,2012,10,0.921
E85,2012,11,0.923
E85,2012,12,0.923
E85,2013,1,0.931
E85,2013,2,0.94
E85,2013,3,0.948
E85,2013,4,0.941
E85,2013,5,0.932
E85,2013,6,0.93
E85,2013,7,0.925
E85,2013,8,0.927
E85,2013,9,0.925
E85,2013,10,0.929
E85,2013,11,0.927
E85,2013,12,0.925
E85,2014,1,0.902
E85,2014,2,0.899
E85,2014,3,0.901
E85,2014,4,0.89
E85,2014,5,0.887
E85,2014,6,0.879
E85,2014,7,0.868
E85,2014,8,0.86
E85,2014,9,0.864
E85,2014,10,0.867
E85,2014,11,0.875
E85,2014,12,0.902
E85,2015,1,0.868
E85,2015,2,0.872
E85,2015,3,0.881
E85,2015,4,0.897
E85,2015,5,0.903
E85,2015,6,0.898
E85,2015,7,0.892
E85,2015,8,0.92
E85,2015,9,0.933
E85,2015,10,0.926
E85,2015,11,0.922
E85,2015,12,0.913
E85,2016,1,0.716
E85,2016,2,0.736
E85,2016,3,0.751
E85,2016,4,0.767
E85,2016,5,0.788
E85,2016,6,0.8
E85,2016,7,0.846
E85,2016,8,0.857
E85,2016,9,0.862
E85,2016,10,0.858
E85,2016,11,0.858
E85,2016,12,0.862
E85,2017,1,0.687
E85,2017,2,0.71
E85,2017,3,0.708
E85,2017,4,0.713
E85,2017,5,0.719
E85,2017,6,0.725
E85,2017,7,0.726
E85,2017,8,0.735
E85,2017,9,0.754
E85,2017,10,0.758
E85,2017,11,0.759
E85,2017,12,0.76
E85,2018,1,0.691
E85,2018,2,0.687
E85,2018,3,0.687
E85,2018,4,0.689
E85,2018,5,0.698
E85,2018,6,0.708
E85,2018,7,0.709
E85,2018,8,0.716
E85,2018,9,0.718
E85,2018,10,0.722
E85,2018,11,0.778
E85,2018,12,0.794
E85,2019,1,0.677
E85,2019,2,0.668
E85,2019,3,0.673
